Job Title,Company Name,Location,Skills,Links,Salary,Responsibilities,Date of poste
Pen Tester- Cyber Security Engineer,Fixed Solutions ,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · firewalls · Hacking · Information Technology (IT) · Maintenance,https://wuzzuf.net/jobs/p/d1i2byrY0WBo-Pen-Tester--Cyber-Security-Engineer-Fixed-Solutions-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"A degree in computer science, IT, systems engineering, or related qualification. || Experience with Firewalls (functionality and maintenance), Office 365 Security, VSX, and Endpoint Security. || Proficiency in Python, C++, Java, Ruby, Node, Go, and/or Power Shell. || Ability to work under pressure in a fast-paced environment. || Strong attention to detail with an analytical mind and outstanding problem-solving skills. || Great awareness of cybersecurity trends and hacking techniques. || Experience with incident detection, incident response, and forensics. || Experience with Firewalls (functionality and maintenance), Office 365 Security, VSX, and Endpoint Security. || Proficiency in Python, C++, Java, Ruby, Node, Go, and/or Power Shell. || Ability to work under pressure in a fast-paced environment. || Strong attention to detail with an analytical mind and outstanding problem-solving skills. || Great awareness of cybersecurity trends and hacking techniques.",5 days ago
Head of IT Department,Misr Elkheir Foundation ,"Mokattam, Cairo, Egypt ",Full TimeSenior Management · 10 - 15 Yrs of Exp · IT/Software Development · Operations/Management · CI/CD · Computer Science · Information Technology (IT) · IT · Python · Security · DevOps · CI,https://wuzzuf.net/jobs/p/IR3x67Q3lRBf-Head-of-IT-Department-Misr-Elkheir-Foundation-Cairo-Egypt?o=33&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Experience in advance analytics & big data, || Proficient & experience to advance in programming skills : Python & SQL || Previous experience/understanding in data models and visualization. || Cloud experience. || Knowledge and/or experience with using or building CI/CD tools || Knowledge of SCRUM and DevOps methodologies || IT Security & Risk – In touch with modern IT security risks and principles. || Bachelor or master’s degree in communication engineering or computer science",5 days ago
Software Test Lead,RDI ,"Dokki, Giza, Egypt ",Full TimeManager · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Testing · Python Scripting · API · Quality Control · Computer Engineering · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/rB4xTl4RZH2W-Software-Test-Lead-RDI-Giza-Egypt?o=34&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"University Degree in Computer Science, Computer Engineering or a related field || 3+ years of relevant experience || Knowledge with Python scripting is highly recommended || Experience with API testing tools (ex. Postman, Katalon Studio). || Experience working with performance testing tools (ex. JMeter). || Strong knowledge of automation testing tools (ex. Selenium, Appuim). || Security testing background is a must || Experience using penetration testing utilities and tools (e.g., Burp Suite, SQL MAP). || Good knowledge of database systems || Ability to support and mentor junior testers || Can work with Linux systems || Ability to test programming libraries || Experience with mobile testing",2 days ago
Senior Robotics Engineer,Icity ,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Agile · Information Technology (IT) · Robotics · Python · Software · Software Development · Communication skills,https://wuzzuf.net/jobs/p/WIOHJXBKlSJ0-Senior-Robotics-Engineer-Icity-Cairo-Egypt?o=35&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"B.Sc. in Mechatronics Engineering || Previous experience as a robotics engineer or similar role (2 to 5 years) || Hands on programming robot arms || Programming skills(C,C++, Python) || Experience in Robot operating system (ROS,ROS2) || Simulation for robotic system is necessary (Gazebo or another simulation software) || Familiar with the concepts of SLAM || Experience in integrating robotic arms in a system || Experience with PLC || Familiar with communication protocols || Ability to develop and evaluate integrated systems || Experience with embedded software development || Familiar with communication protocols || Familiar with version control || Apply Agile methods || Experience in computer vision with robotics is preferred || Good Research, analytical reasoning, problem solving and communication skills.",2 days ago
Data & Analytics Lead,Kashier Payment Solutions ,"Zamalek, Cairo, Egypt ",Full TimeManager · 7+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data · Data Analysis · English · Information Technology (IT) · Python · SQL,https://wuzzuf.net/jobs/p/2JjD8xF9Q6r6-Data-Analytics-Lead-Kashier-Payment-Solutions-Cairo-Egypt?o=36&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,Academic background in scientific/quantitative/economic disciplines. || 7+ years of hands-on experience in the data field. || A strong mathematical background is required. || Advanced level in either R or Python. || Advanced level of SQL. || Advanced knowledge of Tableau or a similar visualization tool. || Fluency in English.,1 day ago
Linux System Administrator,Softxpert Incorporation  ,"Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Administration · Linux · Engineering · Security · System Administration · AWS · Computer Science · English,https://wuzzuf.net/jobs/p/HxUpWe0WmkWZ-Linux-System-Administrator-Softxpert-Incorporation-Alexandria-Egypt?o=37&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Bachelor's degree in computer science/communication engineering or any other related field. (Preferred an ITI - System Administration Track graduate.) || 2-4 Years system administration/ engineering experience. || Strong scripting skills (i.e. Bash, Python). || Strong understanding of version control systems (SVN and Git). || Strong understanding of virtualization and containerization. || Strong understanding of RDBMS (i.e. MySQL, MariaDB). || Strong understanding of CI pipelines. || Strong understanding of System security. || Good knowledge of cloud platforms (AWS, GCP, etc.). || Good understanding of Networking. || Familiar with PHP, Node and Ruby stacks. || Proficiency in business correspondence. || Solid experience with working in an environment where products have to be delivered to specific time scales. || Strong multi-tasking skills and analysis skills. || Excellent communication skills || Proficiency in English language, written and spoken. || Problem-solving attitude",4 days ago
Cloud Solution Engineer - R&D,Link Datacenter ,"Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Azure · Cloud · Computer Engineering · Computer Science · Docker · Engineering · Information Technology (IT) · Linux,https://wuzzuf.net/jobs/p/otV41BfpHA3z-Cloud-Solution-Engineer---RD-Link-Datacenter-Giza-Egypt?o=38&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Good command of English language. || Deployment and operational expertise at major Linux OS distributions. || Knowledge of IP networking, VPN's, DNS, load balancing and security. || Strong understanding of Linux based platforms such like Apache, BIND, MySQL, NGINX, Docker, Kubernetes …etc. || Proven experience of UNIX Scripting – Bash, Python. || Managing and troubleshooting Linux & UNIX systems. || Knowledge of big data and analytics solutions is preferred as an asset. || Very good communication skills with a friendly customer oriented manner. || Very Good Presentation, analytical & Problem Solving Skills. || 2-4 years of relevant professional experience in a large, diversified , Infrastructure (hyper/cloud based) environments || Good knowledge of Microsoft Azure different services (IAAS, PAAS, Application Gateway, Virtual Network …etc.) || Knowledge of IP networking, VPN's, DNS, load balancing and server/service security best practices. || Strong knowledge of emerging IT technology solutions, industry trends, and progressive operations methodology.",3 days ago
Junior Software Engineer,"Telecom Systems Provider, LLC ","Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Engineering · javaScript · Software · HTML,https://wuzzuf.net/jobs/p/HWHBc91VaOq5-Junior-Software-Engineer-Telecom-Systems-Provider-LLC-Cairo-Egypt?o=39&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"BS in Software Engineering, Computer Science, or equivalent. || Proficiency in Python, knowledge about other modern programming languages such as GoLang or Java is a plus. || System admin skills. || In-depth understanding of web development || Experience with programming languages like Java, Ruby, PHP, and Python || Have deep experience in developing SOAP and RESTful API || Familiar with front-end languages such as HTML, JavaScript, and CSS || Good knowledge of Postgres, MySQL, Oracle, and Google Firebase || Good knowledge of Back-end testing with PostMan.",13 days ago
Senior Backend Engineer - Operations Domain,Nana ,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Agile · Computer Science · Engineering · English · HTML · Information Technology (IT) · JavaScript,https://wuzzuf.net/jobs/p/Zxzi6OmD8oSd-Senior-Backend-Engineer---Operations-Domain-Nana-Cairo-Egypt?o=40&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Bachelor of Computer Science or equivalent. || Excellent communication skills and fluency in English. || Minimum 4 years of professional industry experience. || Motivation and enjoyment of a startup environment. || 2+ years of experience in Python development is a must. || Expert knowledge of programming concepts and object-oriented programming. || Hands-on experience in web applications. || Hands-on experience in Web Services (Restful) using Frappe, Flask, Django, etc. || Expertise with client-side JavaScript and HTML based UI development. || Experience with MySQL relational databases and handling large datasets. || Knowledge in UNIX/Linux (a plus). || Exposure to systems and/or network automation and monitoring (a plus). || An ability to balance a sense of urgency with shipping high quality and pragmatic solutions. || Extensive experience working with a large codebase and cross-functional teams. || Ability to perform in a fast-paced team environment using agile methodologies.",8 days ago
Software Solution Architect - Cairo,SSC Egypt ,"Cairo, Egypt ",Full TimeExperienced · 10+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Java · Python · DevOps · Docker · Kotlin · JVM · k8,https://wuzzuf.net/jobs/p/Y4J9qUNBfnT4-Software-Solution-Architect---Cairo-SSC-Egypt-Cairo-Egypt?o=41&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"10+ years of experience  || Expert in the architecture and solutions of technical components of the domains, products and customer journeys. || Expert in designing artifacts architecture, design and UML as well as presentation capabilities for both backend and frontend solutions and integrated journeys. || Can make architecture decisions at a team and product level || Seasoned software architect with deep insight into newest technologies and trends, Java/JVM, Kotlin, and Python. || Hands-on experience in production Cloud (Docker, K8), DevOps CI/CD environments || Experience in Agile Development, with specific Solution Architect (or similar) experience preferred || Understands relationship with Product Owner, Scrum Master, Design Lead and rest of technical team || Experience managing technical priorities and dependencies within the Backlog || Strong communication skills with ability to align the organization on complex technical decisions || Active coach and mentor whose goals are to grow and maximize the team’s potential || High energy and passionate individual who inspires teammates to reach them maximum potential || Excited about trying new solutions outside standard approved || Embraces a culture of trust, free thought complete transparency || Brave and rebellious, willing to challenge status quo",10 days ago
Odoo Developer,Engosoft ,"Nasr City, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Development · Computer Science · Information Technology (IT) · Odoo · Python,https://wuzzuf.net/jobs/p/gX1oxEe6qceV-Odoo-Developer-Engosoft-Cairo-Egypt?o=42&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Working experience with Python || At least 2 years of experience of Odoo development specifications || Strong debugging and troubleshooting skills || Strong Technical Knowledge in Object-Oriented Programming Concepts and data structures. || Develop apps/features || Understand Relational databases || Working experience with relational database design and modeling || Working experience with relational database management systems (PostgreSQL,) || Expertise in HTML, XML, JavaScript, and JQuery. || Solid expertise with GIT or equivalent source control system. || Good knowledge of business processes. || Experience in setup Odoo servers & databases. || Experience in data migration in Odoo || Object-oriented programming, object modeling, and relational database || Quick & Autonomous learner || Good speaking &understanding of English  reading & writing",9 days ago
Full Stack Java Developer (Remotely for USA),Mobile Wave 3 ,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · Computer Science · Java · JavaScript · React · CSS · Python · jQuery,https://wuzzuf.net/jobs/p/SuhNNi0SNLAo-Full-Stack-Java-Developer-Remotely-for-USA-Mobile-Wave-3-Cairo-Egypt?o=43&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Proven experience as a Full Stack Developer or similar role || Experience developing desktop and mobile applications || Familiarity with common stacks || Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery) || Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js) || Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design || Excellent communication and teamwork skills || Great attention to detail || Organizational skills || An analytical mind || Degree in Computer Science, Statistics or relevant field",8 days ago
Senior Java Developer / Software Engineer,Egybell ,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · React · ORM · Python · Java · SQL · Software Engineering · Software Development,https://wuzzuf.net/jobs/p/I7IN6SulzTFP-Senior-Java-Developer-Software-Engineer-Egybell-Cairo-Egypt?o=44&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"B.SC in Computer Science/Engineering or equivalent is required. || 3+ years of relevant experience. || Excellent communication and presentation skills || Excellent English. || Spring Core. || Java 11. || SQL queries. || AWS, and Python knowledge is a plus. || Spring Boot || ORM (Hibernate/JPA/MyBatis) || React ",11 days ago
IoT Lab Specialist - Assiut,Cultiv ,"New Assuit, Assiut, Egypt ",Full TimeEntry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Engineering · Software Development · Java · Python · Electronics · Altium · Proteus · Eagle,https://wuzzuf.net/jobs/p/c8hY3Tuba6bf-IoT-Lab-Specialist---Assiut-Cultiv-Assiut-Egypt?o=45&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Bachelor's Degree in electronics, communications or computer engineering. || Familiar with one or more programming languages like C, Java or Python. || Familiar with one or more of circuit design software like Eagle, Proteus, Altium, etc. || Experience in using basic electronic equipment (e. g., power supplies, multimeters, oscilloscopes, function generators, etc.). || Experience in hardware/electronics technician soldering, crimping, etc. || Having a good knowledge of IoT products. || Ability to communicate complex technical issues in an appropriate, concise and accurate fashion visually and in writing. || Motivated, self-driven and highly organized individual. || Ability to work in individual and team projects. || Good verbal and written communication skills",9 days ago
Senior Full Stack Developer,Dafater ,"Heliopolis, Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Software · CSS · HTML · javaScript,https://wuzzuf.net/jobs/p/9yOocudUlfPr-Senior-Full-Stack-Developer-Dafater-Cairo-Egypt?o=46&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Strong experience in building websites using HTML, CSS, and JavaScript || Strong experience with modern web frameworks and/or libraries such as jQuery, Bootstrap, etc. || To be Good experience in building web applications with any common web technologies (Python, Node.JS, Java, .Net, PHP, Ruby) - Python is preferred. || Good SQL Skills and specifically Familiar with MySQL and open source Database providers || You are great at solving problems, debugging, troubleshooting, designing and implementing solutions to complex technical issues. || You understand object-oriented programming principles || You are comfortable using the Linux command line || You have a working knowledge of source control software such as Git (preferred) or SVN || You thrive on collaboration, working side by side with people of all backgrounds and disciplines. || An understand of RESTful interfaces || You are experienced working with web front-end frameworks like (Reactjs - Vue.js - Angular, etc.) || You are highly motivated and have a passion for creating and supporting great products. || Ability to multi-task and manage tasks with varying priorities || Ability to work independently with minimal supervision || Must be able to brainstorm and communicate technology ideas and issues with peers and management || Excellent verbal and written communication skills",3 days ago
Full Stack Developer,Confidential ,"Downtown, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Programming · NoSQL · JavaScript · Information Technology (IT) · Engineering · Computer Science · Software Development,https://wuzzuf.net/jobs/p/dIHPpJSLy3BJ-Full-Stack-Developer-Cairo-Egypt?o=47&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Minimum experience of 1 year in a software engineering role. || Advanced proficiency in any strongly typed language (such as C#, Java, C++, Python, etc.) || Comfortable with SQL and NoSQL databases. || Experience in vector graphics editor and prototyping tool. || Extremely good problem solving skills. || Knowledge of professional software engineering best practices via code reviews, building tools and documentation. || Ability to understand, contribute to and expand upon a complex existent codebase. || Excellent understanding of current web technologies and inner workings of frontend frameworks. || Candidate should be self-motivated, independent, detail oriented and punctual. || Staying abreast of developments in web applications and programming languages.",3 days ago
Senior Devops Engineer,TriStar MENA ,"Riyadh, Saudi Arabia ",Full TimeWork From HomeEntry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Design · Java · Information Technology (IT) · DevOps · Software Development · Computer Science · Python,https://wuzzuf.net/jobs/p/7VeIM3gxjZYS-Senior-Devops-Engineer-TriStar-MENA-Riyadh-Saudi-Arabia?o=48&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,,3 days ago
Senior Mobile App Application,Div Systems ,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · kISS · MVVM · Python · Django · flutter · Mobile App · application · Engineering,https://wuzzuf.net/jobs/p/4ugOzJJFFMVm-Senior-Mobile-App-Application-Div-Systems-Cairo-Egypt?o=49&l=sp&t=sj&a=python|search-v3|hpb,,,4 days ago
Cloud DevOps Intern,Appgain ,"Dokki, Giza, Egypt ",InternshipEntry Level · 0 - 1 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · AWS · Cloud · DevOps · Engineering · Docker,https://wuzzuf.net/jobs/p/AqpL5jEvG4da-Cloud-DevOps-Intern-Appgain-Giza-Egypt?o=50&l=sp&t=sj&a=python|search-v3|hpb,,,10 days ago
Dev-Ops Engineer (Remotely for USA),Mobile Wave 3 ,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 9 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · AWS · Information Technology (IT) · Java · Kubernetes · Python,https://wuzzuf.net/jobs/p/Vg5navJzH9Cq-Dev-Ops-Engineer-Remotely-for-USA-Mobile-Wave-3-Cairo-Egypt?o=51&l=sp&t=sj&a=python|search-v3|hpb,,,9 days ago
Odoo Developer,Perfect Presentation ,"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Accounting · Business Systems · Python · Information Technology (IT) · Computer Science,https://wuzzuf.net/jobs/p/BY75Sd1Osszx-Odoo-Developer-Perfect-Presentation-Giza-Egypt?o=52&l=sp&t=sj&a=python|search-v3|hpb,,,9 days ago
Data Architect,Silicon Egypt ,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · ETL · Data Modeling · Database · Data · Big Data · Computer Engineering,https://wuzzuf.net/jobs/p/FwQlDKn8FlQV-Data-Architect-Silicon-Egypt-Cairo-Egypt?o=53&l=sp&t=sj&a=python|search-v3|hpb,,,10 days ago
Odoo Developer,Yodawy ,"Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Software Development · GitHub · HTML · PostgreSQL · JavaScript · JQuery · ORM,https://wuzzuf.net/jobs/p/F4w9syRKNN5S-Odoo-Developer-Yodawy-Cairo-Egypt?o=54&l=sp&t=sj&a=python|search-v3|hpb,,,13 days ago
Linux System Engineer,ECC Solutions ,"6th of October, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Engineering · Computer Engineering · Installation · Maintenance · Operations · Linux,https://wuzzuf.net/jobs/p/y1RSvHq3fVlX-Linux-System-Engineer-ECC-Solutions-Giza-Egypt?o=55&l=sp&t=sj&a=python|search-v3|hpb,,,9 days ago
Data Scientist/ML Engineer,TMentors ,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Machine Learning · Data Science · Python · Engineering · ETL · Cloud · Information Technology (IT),https://wuzzuf.net/jobs/p/NaUwcCGGtNq1-Data-ScientistML-Engineer-TMentors-Cairo-Egypt?o=56&l=sp&t=sj&a=python|search-v3|hpb,,,12 days ago
Junior Robotics Engineer,Icity ,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · PLC · Python · Robotics · Software · Information Technology (IT) · Mechatronics,https://wuzzuf.net/jobs/p/XmNylk1YDspM-Junior-Robotics-Engineer-Icity-Cairo-Egypt?o=57&l=sp&t=sj&a=python|search-v3|hpb,,,13 days ago
Backend Developer Ruby on Rails,Tays ,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Software Development · Information Technology (IT) · Software Engineering · Computer Engineering · HTML · JavaScript,https://wuzzuf.net/jobs/p/HpXYC6YiKuKq-Backend-Developer-Ruby-on-Rails-Tays-Cairo-Egypt?o=58&l=sp&t=sj&a=python|search-v3|hpb,,,9 days ago
Junior Software Engineer - BackEnd,intella ,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · backend · Computer Science · engineer · Software · Software Development · Software Engineering · Software engineer · Information Technology (IT),https://wuzzuf.net/jobs/p/bMkaHIqrncDa-Junior-Software-Engineer---BackEnd-intella-Giza-Egypt?o=59&l=sp&t=sj&a=python|search-v3|hpb,,,15 days ago
Senior Voice Software Engineer,Unifonic ,"Cairo, Egypt ",Work From HomeExperienced · 5 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Asterisk · AWS · Python · Java · Redis · MySQL · PostgreSQL · HTTP,https://wuzzuf.net/jobs/p/Dfivu80kUHqb-Senior-Voice-Software-Engineer-Unifonic-Cairo-Egypt?o=60&l=sp&t=sj&a=python|search-v3|hpb,,,17 days ago
Junior Data Warehouse Engineer/ Data Engineer,360Imaging ,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · DBT · ML · Looker · Tableau · Python · SQL,https://wuzzuf.net/jobs/p/ocB9rf9R68Wf-Junior-Data-Warehouse-Engineer-Data-Engineer-360Imaging-Giza-Egypt?o=61&l=sp&t=sj&a=python|search-v3|hpb,,,16 days ago
DevOps: Site Reliability Engineer/ Support Engineer,Cegedim ,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Jira · Saltstack · Jenkins · Linux · Oracle · MongoDB · Bash · Powershell,https://wuzzuf.net/jobs/p/S5cxsMgpw8aV-DevOps-Site-Reliability-Engineer-Support-Engineer-Cegedim-Cairo-Egypt?o=62&l=sp&t=sj&a=python|search-v3|hpb,,,17 days ago
Senior Front End Developer ( React JS ),Div Systems ,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React js · Redux · HTML · SVG · Nods Js · Python · Django · front-end,https://wuzzuf.net/jobs/p/O8CEsys5U3MF-Senior-Front-End-Developer-React-JS-Div-Systems-Cairo-Egypt?o=63&l=sp&t=sj&a=python|search-v3|hpb,,,11 days ago
Senior Rust Developer,Evolvice GmbH ,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · English · rust · python · Information Technology (IT) · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/sjjPZD1aFpan-Senior-Rust-Developer-Evolvice-GmbH-Cairo-Egypt?o=64&l=sp&t=sj&a=python|search-v3|hpb,,,11 days ago
Senior Devops Engineer,Expeditions ,"Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CI/CD · DevOps · Security · Computer Science · Information Technology (IT) · MySQL · Python · Software Development,https://wuzzuf.net/jobs/p/FbKTnMTOF60P-Senior-Devops-Engineer-Expeditions-Cairo-Egypt?o=65&l=sp&t=sj&a=python|search-v3|hpb,,,15 days ago
Devops Engineer,Ejada (Cairo) ,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · DevOps · CI/CD · JIRA · Microsoft TFS · Cybersecurity · Java,https://wuzzuf.net/jobs/p/cn0XJ0b0NNCy-Devops-Engineer-Ejada-Cairo-Cairo-Egypt?o=66&l=sp&t=sj&a=python|search-v3|hpb,,,15 days ago
Senior BI Developer,Centro CDX ,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Analysis · Azure · Communication skills · Computer Science · Development · ERP · Information Technology (IT),https://wuzzuf.net/jobs/p/yqvrIR2ZgGNI-Senior-BI-Developer-Centro-CDX-Cairo-Egypt?o=67&l=sp&t=sj&a=python|search-v3|hpb,,,15 days ago
Test Software Engineer - Multinational,Pillars ,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Agile · Python · Jenkins · Software Development,https://wuzzuf.net/jobs/p/ze7NHEOXWvfO-Test-Software-Engineer---Multinational-Pillars-Cairo-Egypt?o=68&l=sp&t=sj&a=python|search-v3|hpb,,,18 days ago
(For USA) Front-End Security Developer,Mobile Wave 3 ,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Node.js · React.js · STEM · Redux · graphql · git · jira,https://wuzzuf.net/jobs/p/acMKcMXJ3FiH-For-USA-Front-End-Security-Developer-Mobile-Wave-3-Cairo-Egypt?o=69&l=sp&t=sj&a=python|search-v3|hpb,,,12 days ago
BI Operation Support Specialist,B.Tech ,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · BI · Operations · Python · Power BI · Microsoft Power BI · SSIS · Engineering,https://wuzzuf.net/jobs/p/lt40Zz3dYAkK-BI-Operation-Support-Specialist-B-Tech-Cairo-Egypt?o=70&l=sp&t=sj&a=python|search-v3|hpb,,,12 days ago
Big Data Engineer,Azentio Software ,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Big Data · Hadoop · Spark · Algorithms · Computer Engineering · Computer Science · Data · Engineering,https://wuzzuf.net/jobs/p/dUhak4phdIHH-Big-Data-Engineer-Azentio-Software-Cairo-Egypt?o=71&l=sp&t=sj&a=python|search-v3|hpb,,,19 days ago
Senior DevOps Engineer,Cegedim ,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · System Administration · Linux · Network Adminstartion · Engineering · Windows Systems · MongoDB · Oracle · PostgreSQL,https://wuzzuf.net/jobs/p/f5n6NL7BaoDS-Senior-DevOps-Engineer-Cegedim-Cairo-Egypt?o=72&l=sp&t=sj&a=python|search-v3|hpb,,,17 days ago
"Lead Software Engineer (Typescript/Node) (REMOTE/RECRUITMENT IN Q3, 2022)",Aurora Tech N.V. ,"Cairo, Egypt ",Full TimeWork From HomeManager · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · MySQL · Programming · Software Development · Software Engineering · APIs · Agile · Computer Science,https://wuzzuf.net/jobs/p/vXKsjWeyO7cn-Lead-Software-Engineer-TypescriptNode-REMOTERECRUITMENT-IN-Q3-2022-Aurora-Tech-N-V-Cairo-Egypt?o=73&l=sp&t=sj&a=python|search-v3|hpb,,,17 days ago
