Job Title,Company Name,Location,Skills,Links,Salary,Responsibilities,Date of poste
Senior Full Stack Developer (Python - Django & React),RDI ,"Dokki, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Full Stack Development · React.js · Python · Django · RESTful APIs · HTML5 · Git,https://wuzzuf.net/jobs/p/VpyvGeWu6uv3-Senior-Full-Stack-Developer-Python---Django-React-RDI-Giza-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"5+ years of software development experience, and strong proficiency in JavaScript, React, Python and Django. || Bachelor’s degree in Computer Science, Computer Engineering, or equivalent experience || Solid database skills in a relational database (i.e. PostgresSQL, MySQL, etc.) || Knowledge of how to build and use with RESTful APIs. || Proficiency using industry standard 3rd party tools such as Docker. || Advanced Git/Github Knowledge. || Experience deploying Python applications into production. || Understanding of the threading limitations of Python, and multi-process architecture. || Knowledge of user authentication and authorization between multiple systems, servers, and environments. || Strong unit test and debugging skills. || Google Cloud Platform (GCP) knowledge is a plus. || Experience working in Linux environments and basic shell is a plus. || Thorough understanding of React.js and its core principles || Familiar with popular React.js workflows (such as Redux for state management) and the NextJS Framework. || Proficient understanding of cross-browser compatibility issues and ways to work around. || Good understanding of HTML5 and CSS3. || Knowledge of functional programming and object-oriented programming paradigms. || Understanding of server-side rendering and its benefits and use cases. || Familiar with build tools like (npm, webpack, gulp, bower and ...etc). || Experience with Agile development methodologies. || Dealing with API, Postman. || Familiarity working closely with UX and Visual Designers in a dynamic environment. || Good command of both written and spoken English.     ",27 days ago
Senior Python Back-End Developer (Remote),skora tech ,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · MySQL · Software Development · Software Engineering · Docker · Java · AWS,https://wuzzuf.net/jobs/p/qdfMJXaNymZa-Senior-Python-Back-End-Developer-Remote-skora-tech-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Python || Fast API || Linode || Docker || Pandas || Web Scraping || Kubernetes || Database (Mysql) || Java spring boot || Microservices || Plus: AI & data-driven technical know-how with python, data science, machine learning, deep learning, datasets and data visualization etc.",29 days ago
Junior Python Developer,Copartners ,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Software Engineering · JavaScript · jQuery · CSS · HTML · Python,https://wuzzuf.net/jobs/p/tiuuDUVUAn5a-Junior-Python-Developer-Copartners-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"0 - 1 years of experience. || Computer Science/ Engineering graduate || Python knowledge is a must || Good knowledge of Linux || Basic understanding of relational database systems || HTML, CSS, jQuery and JavaScript knowledge is a plus || The candidate should have the ability for quick self study || Self solo learner / independent worker",29 days ago
Backend Developer (Python),Dafater ,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · HTML · Information Technology (IT) · CSS · Git · jQuery · MySQL · PHP,https://wuzzuf.net/jobs/p/Hw5S2Z9uWNxG-Backend-Developer-Python-Dafater-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Basic knowledge in building  websites using HTML, CSS, and JavaScript || Basic knowledge with modern web frameworks and/or libraries such as jQuery, Bootstrap, etc. || To be Good experience in building web applications with any open source common web technologies (Python, Node.JS, PHP, Ruby) - Python is preferred. || Good SQL Skills and specifically Familiar with MySQL and open source Database providers || You are great at solving problems, debugging, troubleshooting, designing and implementing solutions to complex technical issues. ||  understand object-oriented programming principles ||  using the Linux command line || You have a working knowledge of source control software such as Git (preferred) or SVN || You thrive on collaboration, working side by side with people of all backgrounds and disciplines. || An understand of RESTful interfaces || You are highly motivated and have a passion for creating and supporting great products. || Ability to multi-task and manage tasks with varying priorities || Ability to work independently with minimal supervision",29 days ago
Senior Python Developer,Andela ,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 2 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Python,https://wuzzuf.net/jobs/p/XAjcoEsyHAm6-Senior-Python-Developer-Andela-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Design, scope, and implement technical solutions that scale across multiple web applications || Collaboratively define and prioritize projects and tasks || Drive thoughtful conversations around technical issues and opportunities || Review code and provide thoughtful, constructive feedback for your team and the community || Triage, reproduce and debug technical support requests, bugs, and feature requests reported by users in our Issues on our website. || Provide compassionate technical leadership, mentorship, pairing opportunities, and code reviews to encourage the growth of others",1 month ago
Senior Backend Engineer (Python) - Remote,Meddy ,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · AWS · Git,https://wuzzuf.net/jobs/p/gUHcJ9i9t3bc-Senior-Backend-Engineer-Python---Remote-Meddy-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,You have a minimum of 4+ years of industry experience developing applications in Python. || You have developed and deployed Python applications to production. || You have a good grasp of DevOps processes. || You have an excellent ability to understand and apply software design patterns. || You are fluent in English. Arabic would be a plus. || You can communicate very clearly to technical and non-technical team members.,3 days ago
Senior Python Developer,Optiveum Sp. z o.o. ,"Berlin, Germany ",Full TimeWork From HomeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software · fast API · Kubernetes · PostgreSQL · Programming · Software Development · CI/CD,https://wuzzuf.net/jobs/p/DJ2x11DaeBj8-Senior-Python-Developer-Optiveum-Sp-z-o-o-Berlin-Germany?o=17&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Project management and knowledge: JIRA/Confluence and Notion;Communication: Slack, Zoom; || Technical stack: Python 3.9 (FastAPI) , PostgreSQL, RabbitMQ, Kubernetes, Redis, MongoDB; || Code collaboration: GitLab, GitLab-CI; || You have 3+ years of experience in software development || You have good knowledge of Python 3+ and are willing to learn more and is are a fast learner; || You have a good knowledge about CI/CD processes;  || You worked with GitLab or have a needed skill set to learn it fast;You worked with Docker",1 day ago
Backend Developer (Python),Estafsar ,"Downtown, Cairo, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Django · Python · Git,https://wuzzuf.net/jobs/p/v7pZAkKg15xh-Backend-Developer-Python-Estafsar-Cairo-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,Experience with Python || Experience with designing and implementing RESTful APIs || Experience with GIT and preferably github || Strong understanding of unit testing || Familiarity with cloud infrastructure is a plus || Experience with Django is a plus,1 day ago
Django/Python Back End Developer,Confidential ,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django Framework · Django · Back-End Development · Software Engineering · Software Development · SQL · Python · python development,https://wuzzuf.net/jobs/p/fTBtcnueuJXb-DjangoPython-Back-End-Developer-Cairo-Egypt?o=19&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Education: Bachelors or Master s degree in Computer Science, Information Technology, Computer engineering or a related field  || Experience: 3 to 6 years Python Developer with good knowledge on Django framework  || Good knowledge of databases and writing SQL queries. Knowledge of Postgres is a plus  || Familiarity with architecture styles/APIs (REST, API, MVC)  || Experience in front end technologies like React / Angular  || Good knowledge of Robot framework for automated testing and DevOps (Jenkins) will be beneficial.  || Basic understanding of Advertising domain is desirable  || Experience in product based development would be a plus  || Excellent troubleshooting and communication skills || Self-starter and should be able to work with minimal supervision  || Good understanding of Agile Scrum methodology, testing practices, and tools and knowing when to apply each method to achieve the desired outcomes.  || Open to learning and can pick up new technologies by reading documentation & tutorials Q",1 month ago
Full-Stack Python/Django/Vue.js Developer,42 Coffee Cups ,"Tallinn, Estonia ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Django Framework · Vue.js · Full Stack Development · HTML5 · CSS,https://wuzzuf.net/jobs/p/3tXArAFQS4mY-Full-Stack-PythonDjangoVuejs-Developer-42-Coffee-Cups-Tallinn-Estonia?o=20&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"3+ years experience in web software development with full-stack engineering || 2+ years experience in Python || 1+ year experience in Django and its ecosystem || Web applications architecture (Nginx, uWSGI, Celery, MySQL/PostgreSQL, Memcache, Redis) || JS/HTML5/CSS3/SCSS/LESS/webpack || Full understanding of asynchronous development on both Frontend and Backend || RESTful API architecture and DRF || Experience in Vue.js || Test-Driven Development (TDD) || MySQL/PostgreSQL and understanding of ORM || Understanding of software design patterns || Confidence in Git and UNIX/GNU Linux basic commands || Familiarity with Docker and docker-compose || Good English || Planning ahead skills and confidence to express thoughts clearly in writing || Attention to details || High sense of responsibility for what you do ",1 month ago
Senior Python Web Developer,Docspert ,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Flask · Web Development · Information Technology (IT) · Computer Science · Software Development,https://wuzzuf.net/jobs/p/DNPrnC2g8agF-Senior-Python-Web-Developer-Docspert-Cairo-Egypt?o=21&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Bachelor degree in Computer Science. || 5 years of experience or more in developing scalable and secure Python web applications using Flask and/or Django. || Experience in database design and maintaining relational database systems. || Experience in deploying web applications to the cloud, optimizing performance and monitoring security. || Experience in using and integrating Cloud services to serve scalable applications. || Strong understanding of front-end technologies. || Building unit and integration testing scripts. || Experience in developing web applications that are compliant with the latest security and regulatory guidelines. || Experience with leading and coaching small teams. || Basic understanding of DevOps and ML principles is needed, solid experience with any or both is a plus! || A good command of written and spoken English is a must.",1 month ago
